Age,Gender,FoodCarbohydrate,FoodFat,FoodProtein,FoodSodium,oldenergy,FoodMonounsaturatedFat,FoodPolyunsaturatedFattyAcid,FoodSaturatedFat,FoodTotalSugar,FoodAddedSugar,FoodFibre,FoodFruit,FoodVegetable,FoodRedMeat,FoodProcessedMeat,FoodLegume,FoodCalcium,FoodIron,FoodVitaminC,FoodCopper,FoodZinc,FoodAlcohol,Height,Weight,PhysicalActivity,BMR,EnergyIntake,ratio,Income
79,0,282.4135386,103.5319192,81.72650099,2.846158088,2802.629828,39.47504096,17.53929055,39.75158949,130.0098795,76.74193907,20.34655718,185.3916317,268.271641,55.74467528,74.39648602,36.22489486,1027.622067,12.28821324,81.8740879,1.332123739,9.68400829,17.1661824,170.2509867,80.48981728,1.689822313,1484.481942,2508.510707,0.895056023,609.5803563
80,0,280.4686959,102.8129199,81.12914885,2.825356235,2795.624928,39.19603629,17.41647249,39.48064926,129.1624363,76.27922339,20.2016817,184.2340737,266.4349229,55.39888125,73.81609639,35.99295838,1020.435977,12.19895189,81.30753486,1.322580018,9.613855452,16.30319147,170.0647429,79.85093036,1.688725495,1472.015437,2485.829998,0.889185804,603.6818494
81,0,278.5590921,102.0978918,80.48899189,2.80305898,2786.805503,38.910986,17.29274312,39.219197,128.4051418,75.92707511,20.05206712,183.2852322,264.6515537,55.1192148,73.14055331,35.79281251,1013.213825,12.10410813,80.74754623,1.312636952,9.539606417,15.44401068,169.877782,79.2077867,1.687686321,1459.501927,2463.181437,0.883872748,597.7286143
82,0,276.6445728,101.3857336,79.87506589,2.781677604,2778.770167,38.63097291,17.17032602,38.95469315,127.60702,75.52090073,19.90589585,182.2363717,262.8531876,54.8077147,72.51820381,35.57781267,1006.059545,12.01276306,80.1880443,1.302965805,9.467956544,14.58228429,169.6895747,78.56426575,1.686707106,1446.976857,2440.626147,0.878311627,591.7273939
83,0,274.7376823,100.6765033,79.2641108,2.760399706,2770.73975,38.35218427,17.04842751,38.69119968,126.8113494,75.11534568,19.76037921,181.1898692,261.0618098,54.49687423,71.89936782,35.36340174,998.9354183,11.9218524,79.63081094,1.293338804,9.396644736,13.73113155,169.499815,77.92348566,1.685789542,1434.469465,2418.213623,0.872768228,585.6867668
84,0,272.837442,99.96984182,78.65584084,2.739215334,2762.778042,38.07448276,16.92698668,38.42857906,126.0176831,74.71014903,19.61544633,180.1450915,259.2764916,54.18650313,71.28378244,35.14945554,991.8378764,11.83133324,79.07556228,1.283751306,9.325637178,12.89835209,169.3085854,77.28819773,1.684934675,1422.007754,2395.990172,0.867239473,579.6167355
85,0,270.9439829,99.26579656,78.05029066,2.718125694,2754.945523,37.79788599,16.80601144,38.16684998,125.226086,74.30535247,19.47110619,179.1021356,257.4973585,53.87663078,70.67147578,34.93599249,984.7673852,11.74121083,78.52233601,1.274203895,9.254938033,12.09119677,169.1164748,76.66122785,1.684142904,1409.623634,2374.007641,0.861725802,573.5283724
86,0,269.0595164,98.56517711,77.4480937,2.697152846,2747.2978,37.52270173,16.68563878,37.90632426,124.4375852,73.90156939,19.32751723,178.0624761,255.7265134,53.56770097,70.06301754,34.72329961,977.7319713,11.65158053,77.97177278,1.264706932,9.18462248,11.31621726,168.9246296,76.04586599,1.683413992,1397.357136,2352.330555,0.856234281,567.4335476
87,0,267.1889283,97.86977232,76.85065061,2.676345567,2739.884294,37.24961017,16.56617133,37.64769071,123.6544481,73.50015257,19.18502962,177.0293659,253.9686019,53.26069272,69.45966876,34.51201032,970.749371,11.56265314,77.42528802,1.255283321,9.114856728,10.579125,168.7347266,75.44611801,1.682747086,1385.25876,2331.040141,0.850780504,561.3447495
88,0,265.339876,97.18238542,76.26015434,2.655780228,2732.74722,36.97967686,16.44808332,37.39202908,122.880232,73.1032267,19.04419188,176.0079119,252.2309058,52.95714303,68.86340128,34.30311859,963.8473755,11.47475876,76.88509997,1.245968935,9.045901046,9.884668279,168.5488695,74.86676238,1.682140756,1373.389391,2310.234268,0.845388937,555.2750043
